Header,More Info,Description,Link
"
Hope for Nigeria
",unesco - 29/05/2015 - 15:44,...         https://efareport.wordpress.com/2015/05/29/hope-for-nigeria/          ...,"=HYPERLINK(""http://en.unesco.org/gem-report/hope-nigeria"",""more details"")"
"
Sub-Saharan Africa: Regional factsheets - 2012 Report
",ollyking - 10/06/2015 - 15:36,"
Nigeria        Kenya        Ghana          ...","=HYPERLINK(""http://en.unesco.org/gem-report/sub-saharan-africa-regional-factsheets-2012-report"",""more details"")"
"
Lanzamiento del Informe GEM 2016
",kassiani lythra... - 23/09/2016 - 14:23,"...  Oslo   -   Más información    
  26 de septiembre:   Nigeria, Abuja    
  27 de septiembre:   Panamá, Ciudad de Panamá    
  28 de ...","=HYPERLINK(""http://en.unesco.org/gem-report/node/1652"",""more details"")"
"
 Lancement 2016 Rapport GEM
",kassiani lythra... - 23/09/2016 - 14:23,"...  Oslo   -   Plus d'informations    
  26 septembre :   Nigeria, Abuja    
  27 septembre :   Panama, Panama    
  28 septembre :   ...","=HYPERLINK(""http://en.unesco.org/gem-report/node/1651"",""more details"")"
"
2016 GEM Report launch events
",kassiani lythra... - 23/09/2016 - 14:22,"...   Norway, Oslo   -   More information    
  26 September:   Nigeria, Abuja    
  27 September:   Panama, Panama City    
  28 September:   ...","=HYPERLINK(""http://en.unesco.org/gem-report/events/2016-gem-report-launch"",""more details"")"
"
2015 Eventos
",kassiani lythra... - 13/09/2016 - 14:13,"...   Uganda, Kampala    
    Setiembre  
  22 de setiembre   Nigeria, Abuja    
  Octubre  
    9 de octubre   Spain, Bilbao    
  12 de ...","=HYPERLINK(""http://en.unesco.org/gem-report/node/1653"",""more details"")"
"
2015 Evénements
",gm_hertelendy - 13/09/2016 - 14:13,"...   Uganda, Kampala    
    Septembre  
  22 septembre   Nigeria, Abuja    
  Octobre  
    9 octobre   Spain, Bilbao    
  12 octobre  ...","=HYPERLINK(""http://en.unesco.org/gem-report/node/1650"",""more details"")"
"
2015 Report Events
",kassiani lythra... - 13/09/2016 - 14:12,"...   Uganda, Kampala    
    September  
  22 September   Nigeria, Abuja    
  October  
    9 October   Spain, Bilbao    
  12 ...","=HYPERLINK(""http://en.unesco.org/gem-report/events/2015"",""more details"")"
"
WIDE Inequalities in Education 
",ollyking - 12/03/2015 - 12:57,"...  Republic of the Congo (DRC), Ethiopia, India, Haiti, Nigeria, Uganda and Yemen.  
                > View paper                       ...","=HYPERLINK(""http://en.unesco.org/gem-report/wide-inequalities-education"",""more details"")"
"
Manos Antoninis
",ollyking - 30/11/2015 - 16:38,"...  basic education capacity building programme in six states in Nigeria; the evaluation of an in-service, cluster-based teacher training ...","=HYPERLINK(""http://en.unesco.org/gem-report/manos-antoninis"",""more details"")"
Header,More Info,Description,Link
"
Manos Antoninis
",ollyking - 30/11/2015 - 16:32,                            Analyste principal de politiques  ...,"=HYPERLINK(""http://en.unesco.org/gem-report/node/271"",""more details"")"
"
Manos Antoninis
",ollyking - 20/02/2015 - 12:59,...  de capacidades en la educación básica en seis Estados de Nigeria; la evaluación de un programa de formación continua de docentes en ...,"=HYPERLINK(""http://en.unesco.org/gem-report/node/272"",""more details"")"
