Header,Link
Enrolment in primary education,"=HYPERLINK(""http://data.un.org/Data.aspx?q=Nigeria+Education+datamart%5bMDG%2cSDGs%2cGenderStat%5d&d=GenderStat&f=inID%3a63%3bcrID%3a58"",""more details"")"
Enrolment in tertiary education,"=HYPERLINK(""http://data.un.org/Data.aspx?q=Nigeria+Education+datamart%5bMDG%2cSDGs%2cGenderStat%5d&d=GenderStat&f=inID%3a65%3bcrID%3a58"",""more details"")"
Enrolment in secondary education,"=HYPERLINK(""http://data.un.org/Data.aspx?q=Nigeria+Education+datamart%5bMDG%2cSDGs%2cGenderStat%5d&d=GenderStat&f=inID%3a64%3bcrID%3a58"",""more details"")"
Net enrolment ratio in primary education,"=HYPERLINK(""http://data.un.org/Data.aspx?q=Nigeria+Education+datamart%5bMDG%2cSDGs%2cGenderStat%5d&d=GenderStat&f=inID%3a51%3bcrID%3a58"",""more details"")"
Net enrolment ratio in secondary education,"=HYPERLINK(""http://data.un.org/Data.aspx?q=Nigeria+Education+datamart%5bMDG%2cSDGs%2cGenderStat%5d&d=GenderStat&f=inID%3a52%3bcrID%3a58"",""more details"")"
Gross enrolment ratio in primary education,"=HYPERLINK(""http://data.un.org/Data.aspx?q=Nigeria+Education+datamart%5bMDG%2cSDGs%2cGenderStat%5d&d=GenderStat&f=inID%3a58%3bcrID%3a58"",""more details"")"
Gross enrolment ratio in tertiary education,"=HYPERLINK(""http://data.un.org/Data.aspx?q=Nigeria+Education+datamart%5bMDG%2cSDGs%2cGenderStat%5d&d=GenderStat&f=inID%3a68%3bcrID%3a58"",""more details"")"
Gross enrolment ratio in secondary education,"=HYPERLINK(""http://data.un.org/Data.aspx?q=Nigeria+Education+datamart%5bMDG%2cSDGs%2cGenderStat%5d&d=GenderStat&f=inID%3a59%3bcrID%3a58"",""more details"")"
Women's share of teachers in primary education,"=HYPERLINK(""http://data.un.org/Data.aspx?q=Nigeria+Education+datamart%5bMDG%2cSDGs%2cGenderStat%5d&d=GenderStat&f=inID%3a88%3bcrID%3a58"",""more details"")"
Women's share of teachers in tertiary education,"=HYPERLINK(""http://data.un.org/Data.aspx?q=Nigeria+Education+datamart%5bMDG%2cSDGs%2cGenderStat%5d&d=GenderStat&f=inID%3a90%3bcrID%3a58"",""more details"")"
Women's share of teachers in secondary education,"=HYPERLINK(""http://data.un.org/Data.aspx?q=Nigeria+Education+datamart%5bMDG%2cSDGs%2cGenderStat%5d&d=GenderStat&f=inID%3a89%3bcrID%3a58"",""more details"")"
"Total net enrolment ratio in primary education, boys","=HYPERLINK(""http://data.un.org/Data.aspx?q=Nigeria+Education+datamart%5bMDG%2cSDGs%2cGenderStat%5d&d=MDG&f=seriesRowID%3a633%3bcountryID%3a566"",""more details"")"
"Total net enrolment ratio in primary education, girls","=HYPERLINK(""http://data.un.org/Data.aspx?q=Nigeria+Education+datamart%5bMDG%2cSDGs%2cGenderStat%5d&d=MDG&f=seriesRowID%3a634%3bcountryID%3a566"",""more details"")"
"Total net enrolment ratio in primary education, both sexes","=HYPERLINK(""http://data.un.org/Data.aspx?q=Nigeria+Education+datamart%5bMDG%2cSDGs%2cGenderStat%5d&d=MDG&f=seriesRowID%3a589%3bcountryID%3a566"",""more details"")"
Gender parity index of teachers in primary education who are trained,"=HYPERLINK(""http://data.un.org/Data.aspx?q=Nigeria+Education+datamart%5bMDG%2cSDGs%2cGenderStat%5d&d=SDGs&f=series%3aSE_PRM_GPITCH%3bref_area%3aNGA"",""more details"")"
Gender parity index of teachers in lower secondary education who are trained,"=HYPERLINK(""http://data.un.org/Data.aspx?q=Nigeria+Education+datamart%5bMDG%2cSDGs%2cGenderStat%5d&d=SDGs&f=series%3aSE_LSC_GPITCH%3bref_area%3aNGA"",""more details"")"
Gender parity index of teachers in upper secondary education who are trained,"=HYPERLINK(""http://data.un.org/Data.aspx?q=Nigeria+Education+datamart%5bMDG%2cSDGs%2cGenderStat%5d&d=SDGs&f=series%3aSE_USC_GPITCH%3bref_area%3aNGA"",""more details"")"
Proportion of teachers in primary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,"=HYPERLINK(""http://data.un.org/Data.aspx?q=Nigeria+Education+datamart%5bMDG%2cSDGs%2cGenderStat%5d&d=SDGs&f=series%3aSE_PRM_TRTCHRTCH%3bref_area%3aNGA"",""more details"")"
Proportion of teachers in lower secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,"=HYPERLINK(""http://data.un.org/Data.aspx?q=Nigeria+Education+datamart%5bMDG%2cSDGs%2cGenderStat%5d&d=SDGs&f=series%3aSE_LSC_TRTCHRTCH%3bref_area%3aNGA"",""more details"")"
Proportion of teachers in upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,"=HYPERLINK(""http://data.un.org/Data.aspx?q=Nigeria+Education+datamart%5bMDG%2cSDGs%2cGenderStat%5d&d=SDGs&f=series%3aSE_USC_TRTCHRTCH%3bref_area%3aNGA"",""more details"")"
